ticker,n_windows,true_anomaly_windows,flagged_windows,precision,sensitivity,specificity,f1,mean_abs_score_change,max_abs_score_change
GOOG,794,766,215,0.9534883720930233,0.26762402088772846,0.6428571428571429,0.417940876656473,0.03581925959785527,0.8880307674407959
GOOGL,797,772,207,0.961352657004831,0.25777202072538863,0.68,0.4065372829417774,0.035169180913187145,0.7370276451110835
GS,988,939,249,0.9357429718875502,0.24813631522896698,0.673469387755102,0.39225589225589225,0.03081086582929772,0.7035150527954097
HD,1330,1257,325,0.9476923076923077,0.24502784407319014,0.7671232876712328,0.3893805309734513,0.03162494362342439,1.005906820297241
HON,1373,1321,312,0.9583333333333334,0.22634367903103708,0.75,0.36619718309859156,0.03141989895623209,0.8440308570861816
IBM,1355,1307,350,0.9685714285714285,0.2593726090283091,0.7708333333333334,0.4091732045866022,0.03535812644169636,0.5508069992065434
INTC,1298,1262,310,0.964516129032258,0.23692551505546752,0.6944444444444444,0.38040712468193383,0.030693087471202425,0.8099646568298342
INTU,1197,1166,306,0.9738562091503268,0.2555746140651801,0.7419354838709677,0.4048913043478261,0.037693964797118826,0.7718307971954343
ISRG,938,916,255,0.9686274509803922,0.26965065502183405,0.6363636363636364,0.421861656703672,0.039397113732874335,0.6738195419311523
JNJ,1426,1377,361,0.9556786703601108,0.25054466230936817,0.673469387755102,0.3970080552359033,0.030625014723392956,0.6559700965881348
JPM,1411,1328,348,0.9195402298850575,0.24096385542168675,0.6626506024096386,0.3818615751789976,0.03055630795499111,1.1376675367355344
KEYS,424,422,106,0.9905660377358491,0.24881516587677724,0.5,0.3977272727272727,0.03591175282255131,0.5138781070709229
KO,1378,1299,352,0.9318181818181818,0.2525019245573518,0.6962025316455697,0.3973349485160509,0.03044628162010042,0.5358719825744629
KVUE,103,99,25,1.0,0.25252525252525254,1.0,0.40322580645161293,0.03284453410728304,0.4130222797393799
LEN,1362,1329,314,0.9617834394904459,0.2272385252069225,0.6363636363636364,0.3676202069385271,0.028744833947629455,0.5297781229019165
LIN,1280,1162,310,0.9096774193548387,0.24268502581755594,0.7627118644067796,0.38315217391304346,0.029887957159106488,0.4584236145019531
LLY,1404,1366,349,0.9770773638968482,0.24963396778916544,0.7894736842105263,0.397667638483965,0.03090026696409741,0.5959396362304688
LMT,1395,1346,350,0.96,0.24962852897473997,0.7142857142857143,0.39622641509433965,0.03232205495601747,1.1815693378448482
LNT,1361,1311,309,0.9611650485436893,0.22654462242562928,0.76,0.36666666666666664,0.030603796418975388,1.0683841705322266
LOW,1359,1306,336,0.9583333333333334,0.24655436447166923,0.7358490566037735,0.3922046285018271,0.03195348298602322,0.8720881938934326
LULU,715,708,188,1.0,0.2655367231638418,1.0,0.41964285714285715,0.0346702986738595,0.5793771743774414
LW,349,346,92,0.9891304347826086,0.2630057803468208,0.6666666666666666,0.4155251141552512,0.04134049908868197,0.697289228439331
MA,721,705,187,0.9786096256684492,0.25957446808510637,0.75,0.4103139013452915,0.036016653643714064,0.8914620876312256
MAR,1015,993,257,0.9688715953307393,0.25075528700906347,0.6363636363636364,0.3984,0.032929108693049505,0.602215647697449
MCD,1350,1300,357,0.9523809523809523,0.26153846153846155,0.66,0.41038020519010265,0.030596087118534787,1.0029141902923584
META,522,509,141,0.9574468085106383,0.26522593320235754,0.5384615384615384,0.4153846153846154,0.03593978955054695,0.602681040763855
MGM,1366,1309,329,0.9544072948328267,0.239877769289534,0.7368421052631579,0.38339438339438336,0.0323415920411274,1.1811443567276003
MHK,1272,1240,300,0.97,0.2346774193548387,0.71875,0.37792207792207794,0.032105139256649186,0.6607859134674074
MMM,1340,1305,356,0.952247191011236,0.2597701149425287,0.5142857142857142,0.40818783865141484,0.033309500461376096,0.614344596862793
MO,1328,1301,356,0.9691011235955056,0.26518063028439665,0.5925925925925926,0.4164152082076042,0.03402911134474063,0.8654828071594243
MRK,1407,1323,347,0.9365994236311239,0.2456538170823885,0.7380952380952381,0.38922155688622756,0.032388310005112025,1.3046559095382693
MSFT,1353,1305,329,0.9696048632218845,0.24444444444444444,0.7916666666666666,0.39045287637698894,0.032005016973032756,0.5357823371887203
MU,1306,1280,304,0.9703947368421053,0.23046875,0.6538461538461539,0.37247474747474746,0.028476498501510912,0.4743155241012573
NFLX,862,850,235,0.9787234042553191,0.27058823529411763,0.5833333333333334,0.423963133640553,0.039801417189054236,0.729529857635498
NVDA,984,927,261,0.946360153256705,0.2664509169363538,0.7543859649122807,0.4158249158249158,0.035864915149257964,0.7651304006576538
ORCL,1336,1320,344,0.9883720930232558,0.25757575757575757,0.75,0.40865384615384615,0.034041658590795394,0.6803839206695561
PG,1349,1281,303,0.9405940594059405,0.2224824355971897,0.7352941176470589,0.35984848484848486,0.03159773809619758,0.6356199979782109
PHM,1327,1278,298,0.9496644295302014,0.2214397496087637,0.6938775510204082,0.35913705583756345,0.029402350588261985,0.8954619169235227
PLTR,170,151,52,0.8846153846153846,0.304635761589404,0.6842105263157895,0.45320197044334976,0.039480648802582334,0.2805110216140747
PM,654,641,156,0.967948717948718,0.23556942277691106,0.6153846153846154,0.37892095357590966,0.033188884145085334,0.5442562103271484
RCL,1269,1227,328,0.9603658536585366,0.2567237163814181,0.6904761904761905,0.40514469453376206,0.03197132506957189,1.0855942964553837
ROST,1376,1273,375,0.928,0.27336999214454044,0.7378640776699029,0.4223300970873786,0.032934927246787336,0.8780405521392831
RTX,1354,1278,312,0.9262820512820513,0.22613458528951486,0.6973684210526315,0.3635220125786163,0.03213085039227606,0.744132518768311
STZ,1222,1185,295,0.9661016949152542,0.24050632911392406,0.7297297297297297,0.38513513513513514,0.03726540443645356,1.1181366443634038
TGT,1365,1319,328,0.9573170731707317,0.23805913570887036,0.6956521739130435,0.38129933211900424,0.032221807587531306,0.5583653450012205
